fullDisplayName,category,assessment,columnHeader,description
Total drinks in past 7 days,Substance Use,Alcohol Use 7-Day Retrospective,Total_Drinks_7days,Total drinks in past 7 days. Asked on last day of HCP visit.
Number days drank alcohol in past 7 days,Substance Use,Alcohol Use 7-Day Retrospective,Num_Days_Drank_7days,Number days drank alcohol in past 7 days. Asked on last day of HCP visit.
Avg total weekday alcoholic drinks/day in past 7 days,Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekday_Drinks_7days,Avg total weekday alcoholic drinks/day in past 7 days. Asked on last day of HCP visit.
Avg total weekend alcoholic drinks/day in past 7 days,Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekend_Drinks_7days,Avg total weekend alcoholic drinks/day in past 7 days. Asked on last day of HCP visit.
Total alcoholic drinks in past 7 days (Beer/Wine Coolers),Substance Use,Alcohol Use 7-Day Retrospective,Total_Beer_Wine_Cooler_7days,Total alcoholic drinks in past 7 days (Beer/Wine Coolers). Asked on last day of HCP visit.
Avg total weekday alcoholic drinks/day in past 7 days (Beer/Wine Coolers),Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekday_Beer_Wine_Cooler_7days,Avg total weekday alcoholic drinks/day in past 7 days (Beer/Wine Coolers). Asked on last day of HCP visit.
Avg total weekend alcoholic drinks/day in past 7 days (Beer/Wine Coolers),Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekend_Beer_Wine_Cooler_7days,Avg total weekend alcoholic drinks/day in past 7 days (Beer/Wine Coolers). Asked on last day of HCP visit.
Total alcoholic drinks in past 7 days (Malt Liquor),Substance Use,Alcohol Use 7-Day Retrospective,Total_Malt_Liquor_7days,Total alcoholic drinks in past 7 days (Malt Liquor). Asked on last day of HCP visit.
Avg total weekday alcoholic drinks/day in past 7 days (Malt Liquor),Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekday_Malt_Liquor_7days,Avg total weekday alcoholic drinks/day in past 7 days (Malt Liquor). Asked on last day of HCP visit.
Avg total weekend alcoholic drinks/day in past 7 days (Malt Liquor),Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekend_Malt_Liquor_7days,Avg total weekend alcoholic drinks/day in past 7 days (Malt Liquor). Asked on last day of HCP visit.
Total alcoholic drinks in past 7 days (Wine),Substance Use,Alcohol Use 7-Day Retrospective,Total_Wine_7days,Total alcoholic drinks in past 7 days (Wine). Asked on last day of HCP visit.
Avg total weekday alcoholic drinks/day in past 7 days (Wine),Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekday_Wine_7days,Avg total weekday alcoholic drinks/day in past 7 days (Wine). Asked on last day of HCP visit.
Avg total weekend alcoholic drinks/day in past 7 days (Wine),Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekend_Wine_7days,Avg total weekend alcoholic drinks/day in past 7 days (Wine). Asked on last day of HCP visit.
Total alcoholic drinks in past 7 days (Hard Liquor),Substance Use,Alcohol Use 7-Day Retrospective,Total_Hard_Liquor_7days,Total alcoholic drinks in past 7 days (Hard Liquor). Asked on last day of HCP visit.
Avg total weekday alcoholic drinks/day in past 7 days (Hard Liquor),Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekday_Hard_Liquor_7days,Avg total weekday alcoholic drinks/day in past 7 days (Hard Liquor). Asked on last day of HCP visit.
Avg total weekend alcoholic drinks/day in past 7 days (Hard Liquor),Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekend_Hard_Liquor_7days,Avg total weekend alcoholic drinks/day in past 7 days (Hard Liquor). Asked on last day of HCP visit.
Total alcoholic drinks in past 7 days (Other Alcohol),Substance Use,Alcohol Use 7-Day Retrospective,Total_Other_Alc_7days,Total alcoholic drinks in past 7 days (Other Alcohol). Asked on last day of HCP visit.
Avg total weekday alcoholic drinks/day in past 7 days (Other Alcohol),Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekday_Other_Alc_7days,Avg total weekday alcoholic drinks/day in past 7 days (Other Alcohol). Asked on last day of HCP visit.
Avg total weekend alcoholic drinks/day in past 7 days (Other Alcohol),Substance Use,Alcohol Use 7-Day Retrospective,Avg_Weekend_Other_Alc_7days,Avg total weekend alcoholic drinks/day in past 7 days (Other Alcohol). Asked on last day of HCP visit.
Number of DSM4 Alcohol Dependence Criteria Endorsed,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_D4_Dp_Sx,"Number of DSM4 ALC Dependence Criteria Met: If participant is male: 0, 1, 2, 3+ = 3; If female: 0, 1, 2+ = 2"
DSM4 Alcohol Abuse Criteria Met,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_D4_Ab_Dx,"Participant meets/met DSM4 criteria for Alcohol Abuse sometime over his/her lifetime? 1=No, 5=Yes"
DSM4 Alcohol Abuse number of symptoms,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_D4_Ab_Sx,"Number of symptoms participant has/had of DSM4 Alcohol Abuse sometime over lifetime 0, 1=1 symptom present, 2=2 or more symptoms present"
DSM4 Alcohol Dependence Criteria Met,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_D4_Dp_Dx,"Participant meets/met DSM4 criteria for DSM4 Alcohol Dependence sometime over his/her lifetime? 1=No, 5=Yes"
Drinks per drinking day in past 12 months,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_12_Drinks_Per_Day,"Drinks consumed per drinking day in past 12 months: 0, 1, 2, 3, 4, 5-6 = 5, 7+ = 6"
Frequency of any alcohol use in past 12 months,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_12_Frq,"Frequency of any alcohol use in past 12 months:  4-7 days/week (1 if male, 2 if female), 3 days/week = 2, 2 days/week = 3, 1 day/week = 4, 1-3 days month = 5, 1-11 days/year = 6, never in past 12 months = 7"
Frequency of drinking 5+ drinks in past 12 months,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_12_Frq_5plus,"Frequency of drinking 5+ drinks in past 12 months: 3+ days/week = 1 if male, 2 if female;  1-2 days/week = 2; 1-3 days/month = 3; 1-11 days/year = 4; never = 5"
Frequency drunk in past 12 months,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_12_Frq_Drk,"Frequency drunk in past 12 months: 1-7 days/week = 1 if male, 2 if female, 1-3 days/month = 2, 1-11 days/year = 3, never = 4"
Max drinks in a single day in past 12 months,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_12_Max_Drinks,"Max drinks consumed in a single day in the past 12 months: 1-2 = 1; 3-4 = 2; 5-6 = 3; 7-8 = 4; 9-10 = 5; 11-12 = 6 if male, 5 if female; 13+ = 7, 5 if female"
Age at first alcohol use,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_Age_1st_Use,"Age at first alcohol use: <15 = 1, 15-16 = 2, 17-18 = 3, 19-20 = 4, 21+ = 5"
Drinks per day in heaviest 12-month period,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_Hvy_Drinks_Per_Day,"Drinks per day in heaviest 12-month drinking period of participant's lifetime: 0 or 1 = 1, 2, 3, 4, 5-6 = 5, 7+ = 6"
"Frequency of any alcohol use, heaviest 12-month period",Substance Use,Alcohol Use and Dependence,SSAGA_Alc_Hvy_Frq,"Frequency of any alcohol use in heaviest 12-month drinking period of participant's lifetime:  4-7 days/week  = 1, 3 days/week = 2, 2 days/week = 3, 1 day/week = 4, 1-3 days/month = 5, 1-11 days/year or never = 6"
Frequency of drinking 5+ drinks heaviest 12-month period,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_Hvy_Frq_5plus,"Frequency of drinking 5+ drinks during heaviest 12-month drinking period of participant's lifetime: 3+ days/week = 1, 1-2 days/week = 2, 1-3 days/month = 3, 1-11 days year = 4, never = 5"
Frequency drunk in heaviest 12-month period,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_Hvy_Frq_Drk,"Frequency drunk in heaviest 12-month drinking period of participant's lifetime: 1-7 days/week = 1, 1-3 days/month = 2, 1-11 days/year = 3, never = 4"
Lifetime max drinks in single day,Substance Use,Alcohol Use and Dependence,SSAGA_Alc_Hvy_Max_Drinks,"Lifetime max drinks consumed in single day: <=3 = 1; 4-6 = 2; 7-9 = 3; 10-12 = 4; 13-15 = 5; 16-20 = 6; 21+ = 7 if male, 6 if female"
Total times used/smoked ANY TOBACCO in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Total_Any_Tobacco_7days,Total times used/smoked ANY TOBACCO in past 7 days. Asked on last day of HCP visit.
Times used/smoked ANY TOBACCO TODAY,Substance Use,Tobacco Use 7-Day Retrospective,Times_Used_Any_Tobacco_Today,Times used/smoked ANY TOBACCO TODAY. Asked on last day of HCP visit.
Number days smoked/used ANY TOBACCO in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Num_Days_Used_Any_Tobacco_7days,Number days smoked/used ANY TOBACCO in past 7 days. Asked on last day of HCP visit.
Avg total weekday ANY TOBACCO per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekday_Any_Tobacco_7days,Avg total weekday ANY TOBACCO per day in past 7 days. Asked on last day of HCP visit.
Avg total weekend ANY TOBACCO per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekend_Any_Tobacco_7days,Avg total weekend ANY TOBACCO per day in past 7 days. Asked on last day of HCP visit.
Total # CIGARETTES in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Total_Cigarettes_7days,Total # CIGARETTES in past 7 days. Asked on last day of HCP visit.
Avg weekday CIGARETTES per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekday_Cigarettes_7days,Avg weekday CIGARETTES per day in past 7 days. Asked on last day of HCP visit.
Avg weekend CIGARETTES per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekend_Cigarettes_7days,Avg weekend CIGARETTES per day in past 7 days. Asked on last day of HCP visit.
Total # CIGARS in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Total_Cigars_7days,Total # CIGARS in past 7 days. Asked on last day of HCP visit.
Avg weekday CIGARS per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekday_Cigars_7days,Avg weekday CIGARS per day in past 7 days. Asked on last day of HCP visit.
Avg weekend CIGARS per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekend_Cigars_7days,Avg weekend CIGARS per day in past 7 days. Asked on last day of HCP visit.
Total # PIPES in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Total_Pipes_7days,Total # PIPES in past 7 days. Asked on last day of HCP visit.
Avg weekday PIPES per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekday_Pipes_7days,Avg weekday PIPES per day in past 7 days. Asked on last day of HCP visit.
Avg weekend PIPES per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekend_Pipes_7days,Avg weekend PIPES per day in past 7 days. Asked on last day of HCP visit.
Times used CHEW in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Total_Chew_7days,Times used CHEW in past 7 days. Asked on last day of HCP visit.
Avg weekday times used CHEW per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekday_Chew_7days,Avg weekday times used CHEW per day in past 7 days. Asked on last day of HCP visit.
Avg weekend times used CHEW per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekend_Chew_7days,Avg weekend times used CHEW per day in past 7 days. Asked on last day of HCP visit.
Times used SNUFF in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Total_Snuff_7days,Times used SNUFF in past 7 days. Asked on last day of HCP visit.
Avg weekday times used SNUFF per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekday_Snuff_7days,Avg weekday times used SNUFF per day in past 7 days. Asked on last day of HCP visit.
Avg weekend times used SNUFF per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekend_Snuff_7days,Avg weekend times used SNUFF per day in past 7 days. Asked on last day of HCP visit.
Times used OTHER TOBACCO in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Total_Other_Tobacco_7days,Times used OTHER TOBACCO in past 7 days. Asked on last day of HCP visit.
Avg weekday times used OTHER TOBACCO per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekday_Other_Tobacco_7days,Avg weekday times used OTHER TOBACCO per day in past 7 days. Asked on last day of HCP visit.
Avg weekend times used OTHER TOBACCO per day in past 7 days,Substance Use,Tobacco Use 7-Day Retrospective,Avg_Weekend_Other_Tobacco_7days,Avg weekend times used OTHER TOBACCO per day in past 7 days. Asked on last day of HCP visit.
Fagerstrom FTND Score,Substance Use,Tobacco Use and Dependence,SSAGA_FTND_Score,Fagerstrom FTND (test for nicotine dependence) score: 4+ indicative of dependence; >6 recoded as 6)
Fagerstrom HSI Score: HSI measure of tobacco dependence,Substance Use,Tobacco Use and Dependence,SSAGA_HSI_Score,Fagerstrom HSI (heavy smoking index) score: HSI measure of tobacco dependence  (>4 recoded as 4)
"For regular smokers, age first smoked a cigarette (even a puff)",Substance Use,Tobacco Use and Dependence,SSAGA_TB_Age_1st_Cig,"For regular smokers, age first smoked a cigarette (even a puff), ((<=14) = 14, (15-17) = 17, (18-20) = 20, (>=21) = 21)"
DSM tobacco dependence - difficulty quitting,Substance Use,Tobacco Use and Dependence,SSAGA_TB_DSM_Difficulty_Quitting,"Participant meets/met DSM criteria for tobacco dependence - difficulty quitting at some time over his/her lifetime? 1=No, 5=Yes"
DSM tobacco dependence - tolerance,Substance Use,Tobacco Use and Dependence,SSAGA_TB_DSM_Tolerance,"Participant meets/met DSM criteria for tobacco dependence - tolerance at some time over his/her lifetime? 1=No, 5=Yes"
DSM tobacco dependence - withdrawal,Substance Use,Tobacco Use and Dependence,SSAGA_TB_DSM_Withdrawal,"Participant meets/met DSM criteria for tobacco dependence - withdrawal at some time over his/her lifetime? 1=No, 5=Yes"
Cigarettes per day during heaviest period,Substance Use,Tobacco Use and Dependence,SSAGA_TB_Hvy_CPD,Cigarettes per day during heaviest period of use (1-5 = 5; 6-10 = 10; 11-15 = 15; 16-20 = 20; >20 = 30)
Most cigarettes smoked in a day,Substance Use,Tobacco Use and Dependence,SSAGA_TB_Max_Cigs,"Most cigarettes smoked in a day (5, 10, 15, 20, >=30)"
